0.3,0.571314
0.302333,0.582517
0.304667,0.594028
0.307,0.605863
0.309333,0.618034
0.311667,0.630559
0.314,0.643452
0.316333,0.65673
0.318667,0.670414
0.321,0.684521
0.323333,0.699073
0.325667,0.714093
0.328,0.729604
0.330333,0.745632
0.332667,0.762206
0.335,0.779354
0.337333,0.797108
0.339667,0.815505
0.342,0.83458
0.344333,0.854374
0.346667,0.874932
0.349,0.896302
0.351333,0.918534
0.353667,0.941686
0.356,0.965821
0.358333,0.991005
0.360667,1.01731
0.363,1.04483
0.365333,1.07364
0.367667,1.10386
0.37,1.13558
0.372333,1.16893
0.374667,1.20405
0.377,1.2411
0.379333,1.28025
0.381667,1.3217
0.384,1.36566
0.386333,1.41239
0.388667,1.46218
0.391,1.51535
0.393333,1.57228
0.395667,1.63342
0.398,1.69927
0.400333,1.77043
0.402667,1.84761
0.405,1.93165
0.407333,2.02355
0.409667,2.12453
0.412,2.23605
0.414333,2.35995
0.416667,2.49848
0.419,2.65451
0.421333,2.8317
0.423667,3.03481
0.426,3.27017
0.428333,3.54633
0.430667,3.8752
0.433,4.27381
0.435333,4.76746
0.437667,5.39534
0.44,6.22172
0.442333,7.35969
0.444667,9.02848
0.447,11.7161
0.449333,16.7734
0.451667,29.8319
0.454,142.398
0.456333,-50.2008
0.458667,-21.118
0.461,-13.2755
0.463333,-9.62484
0.465667,-7.51163
0.468,-6.13188
0.470333,-5.15893
0.472667,-4.43498
0.475,-3.87446
0.477333,-3.42695
0.479667,-3.06081
0.482,-2.75519
0.484333,-2.49575
0.486667,-2.27236
0.489,-2.07761
0.491333,-1.90598
0.493667,-1.75327
0.496,-1.61622
0.498333,-1.49224
0.500667,-1.3793
0.503,-1.27573
0.505333,-1.18016
0.507667,-1.09147
0.51,-1.00871
0.512333,-0.931099
0.514667,-0.857946
0.517,-0.788668
0.519333,-0.722759
0.521667,-0.659771
0.524,-0.59931
0.526333,-0.541023
0.528667,-0.484589
0.531,-0.429714
0.533333,-0.376126
