0,0
0.0014,0.00140196
0.0028,0.00280787
0.0042,0.00421774
0.0056,0.0056316
0.007,0.00704946
0.0084,0.00847136
0.0098,0.00989731
0.0112,0.0113273
0.0126,0.0127615
0.014,0.0141997
0.0154,0.0156421
0.0168,0.0170887
0.0182,0.0185395
0.0196,0.0199945
0.021,0.0214537
0.0224,0.0229172
0.0238,0.0243851
0.0252,0.0258572
0.0266,0.0273337
0.028,0.0288146
0.0294,0.0303
0.0308,0.0317897
0.0322,0.033284
0.0336,0.0347827
0.035,0.036286
0.0364,0.0377939
0.0378,0.0393063
0.0392,0.0408234
0.0406,0.0423452
0.042,0.0438717
0.0434,0.0454029
0.0448,0.046939
0.0462,0.0484798
0.0476,0.0500255
0.049,0.0515762
0.0504,0.0531318
0.0518,0.0546923
0.0532,0.0562579
0.0546,0.0578286
0.056,0.0594045
0.0574,0.0609855
0.0588,0.0625717
0.0602,0.0641632
0.0616,0.0657601
0.063,0.0673623
0.0644,0.06897
0.0658,0.0705832
0.0672,0.0722019
0.0686,0.0738263
0.07,0.0754563
0.0714,0.0770921
0.0728,0.0787336
0.0742,0.0803811
0.0756,0.0820344
0.077,0.0836938
0.0784,0.0853593
0.0798,0.0870309
0.0812,0.0887087
0.0826,0.0903928
0.084,0.0920833
0.0854,0.0937803
0.0868,0.0954838
0.0882,0.0971939
0.0896,0.0989107
0.091,0.100634
0.0924,0.102365
0.0938,0.104102
0.0952,0.105847
0.0966,0.107599
0.098,0.109358
0.0994,0.111124
0.1008,0.112898
0.1022,0.114679
0.1036,0.116469
0.105,0.118265
0.1064,0.12007
0.1078,0.121883
0.1092,0.123704
0.1106,0.125534
0.112,0.127371
0.1134,0.129218
0.1148,0.131072
0.1162,0.132936
0.1176,0.134809
0.119,0.13669
0.1204,0.138581
0.1218,0.140481
0.1232,0.142391
0.1246,0.14431
0.126,0.14624
0.1274,0.148179
0.1288,0.150128
0.1302,0.152087
0.1316,0.154057
0.133,0.156038
0.1344,0.158029
0.1358,0.160031
0.1372,0.162045
0.1386,0.164069
0.14,0.166106
0.1414,0.168154
